name,category,post_count,aliases
1girl,0,5903320,"1girls,sole_female"
highres,5,5125433,"high_res,high_resolution,hires"
solo,0,4915726,"female_solo,solo_female"
long_hair,0,4266307,"/lh,longhair"
breasts,0,3374742,"/b,boobs,breast,breats,oppai,tits"
commentary_request,5,3248617,/com
looking_at_viewer,0,3246129,"/lav,/pec,pov_eye_contact"
blush,0,2890451,"blushing,flush,flushed"
smile,0,2815351,":),:},smiling"
open_mouth,0,2315124,mouth_open
short_hair,0,2221402,"short-hair,shorthair"
simple_background,0,1772823,"/sbg,/simplebg"
shirt,0,1764882,"shirt_only,shirts"
blue_eyes,0,1730980,"blueeyes,light_blue_eyes"
absurdres,5,1729478,"insaneres,very_high_resolution"
large_breasts,0,1549947,"big_breasts,large_boobs,large_breast,large_tits,/lb"
skirt,0,1530147,
long_sleeves,0,1527991,"long_sleeve,/lsleeves"
blonde_hair,0,1510511,"blond,blonde,/blondeh,blondehair,blond_hair,gold_hair,yellow_hair"
multiple_girls,0,1506561,/ngirls
black_hair,0,1471987,"/blackh,black-hair,blackhair,dark_hair"
brown_hair,0,1461219,"/brownh,brown-hair,brownhair,brunette,chocolate_hair"
white_background,0,1456291,"/wbg,/whitebg"
hair_ornament,0,1390029,"hair_accessories,hair_accessory,hair_decs,hair_ornaments,/hornament"
1boy,0,1371717,"1boys,sole_male"
gloves,0,1324760,glove
commentary,5,1322934,commentaries
holding,0,1315114,"hold,holding_object"
dress,0,1257458,
red_eyes,0,1251664,"red_eye,redeyes"
hat,0,1185682,
bad_id,5,1166581,bad_skeb_id
bow,0,1153020,bows
thighhighs,0,1151232,"naked_thighhighs,nude_thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh_highs,thighhighs_only,thighhigs,thighighs"
original,3,1149278,"/o,original_character"
animal_ears,0,1145209,"kemonomimi,pokemon_ears"
hair_between_eyes,0,1135147,bangs_between_eyes
navel,0,1132550,"belly_button,bellybutton"
closed_mouth,0,1131582,
ribbon,0,1069670,ribbons
jewelry,0,1038360,"jewelery,jewellery"
2girls,0,1002298,"2girl,2_girls"
cleavage,0,985117,"clevage,overboob"
bare_shoulders,0,957036,"bare_shoulder,bareshoulders"
very_long_hair,0,930995,"hair_past_waist,/vlh"
sitting,0,920728,"sit,sitting_down"
bad_pixiv_id,5,918206,
jacket,0,905079,
touhou,3,894336,"/to,toho"
twintails,0,889922,"/tt,twintaiks,twintail,twin_tails"
standing,0,884036,
medium_breasts,0,875905,
blue_hair,0,838210,"/blueh,bluehair"
brown_eyes,0,834053,"browneyes,light_brown_eyes"
green_eyes,0,832705,"green-eyes,greeneyes"
white_shirt,0,818013,white_blouse
nipples,0,816726,nipple
purple_eyes,0,791086,"light_purple_eyes,purpleeyes,violet_eyes"
full_body,0,784394,
underwear,0,783077,"shitagi,undergarments"
school_uniform,0,779530,"/s,school_girl,schoolgirl,school_uniforms,seifuku"
collarbone,0,773855,"clavicle,clavicles,collarbones"
tail,0,767928,"animal_tail,animal_tails,shippo,tails"
upper_body,0,753151,bust
photoshop_(medium),5,706422,
closed_eyes,0,688254,eyes_closed
white_hair,0,687257,whitehair
male_focus,0,684061,"boys_only,guys_only,male,male_only,man,men"
yellow_eyes,0,677596,"amber_eyes,golden_eyes,golden_eyes,gold_eyes,hazel_eyes,hazeleyes,yelloweyes"
pink_hair,0,673741,"magenta_hair,/pinkh,pinkhair"
multicolored_hair,0,668926,multicolor_hair
grey_hair,0,660550,gray_hair
swimsuit,0,652042,"bathing_suit,mizugi,swim_suit,swimsuits"
panties,0,639217,"/p,pantie,pantsu,panty"
ahoge,0,634728,
purple_hair,0,631955,"lavender_hair,/purpleh,purple-hair,purplehair,violet_hair"
monochrome,0,620741,"/m,monochome,monochorme,monochromatic"
braid,0,617934,"braided_hair,braids,hair_braid"
short_sleeves,0,609506,/ssleeves
flower,0,609222,flowers
sidelocks,0,597270,"forelocks,payot"
hair_ribbon,0,594998,"hair_ribbons,/hribbon,ribbon_hair_ornament,ribbon_in_hair,ribbons_in_hair"
ponytail,0,589292,"long_ponytail,pony_tail"
weapon,0,584412,weapons
ass,0,582788,"butt,butt_cheeks,buttocks,oshiri,rearend"
heart,0,567823,"<3,hearts"
thighs,0,552373,thigh
translated,5,552081,"translatied,translation"
cowboy_shot,0,543896,
earrings,0,543641,"aqua_earrings,black_earrings,blue_earrings,brown_earrings,ear_ring,earring,ear_rings,green_earrings,grey_earrings,pink_earrings,purple_earrings,red_earrings,white_earrings,yellow_earrings"
:d,0,539840,
hetero,0,534579,
comic,0,531561,"comics,manga"
outdoors,0,527536,"outdoor,outside"
hair_bow,0,523154,"hairbow,hair_bows"
translation_request,5,517768,"/tr,translate_request,translationrequest,translation_requested"
pantyhose,0,517617,"panty_hose,tights"
sweat,0,511550,sweating
red_hair,0,508210,"/redh,redhair,red_head,redhead"
kantai_collection,3,494884,"kancolle,kankore"
bikini,0,494562,
greyscale,0,492779,"black_and_white,b&w,grayscale"
pleated_skirt,0,490485,
nude,0,485545,naked
frills,0,484713,"frill,frilled,frilly,ruffles"
small_breasts,0,484355,
parted_lips,0,481845,
